Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),"VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),CHOVEU
2023-04-06,3.0,1004.2166666666667,1004.4291666666667,1003.9458333333333,27.129166666666666,27.52916666666667,26.72083333333333,7.229166666666667,3.295833333333333,23.787499999999998,23.354166666666668,1
2023-09-23,3.0,1008.2666666666668,1008.5041666666666,1007.9958333333334,26.2625,26.75,25.891666666666666,7.5625,3.6833333333333336,22.90416666666667,22.5,1
2023-06-11,3.0,1009.1374999999999,1009.3625000000001,1008.8708333333334,24.883333333333336,25.266666666666666,24.558333333333334,6.804166666666667,3.2083333333333335,22.90833333333333,22.620833333333334,1
2023-07-09,3.0,1009.2333333333332,1009.4250000000001,1009.0041666666666,26.52916666666667,26.991666666666664,26.020833333333332,6.695833333333333,2.920833333333333,23.462500000000002,23.008333333333336,1
2023-02-20,3.0,1005.4416666666666,1005.6625,1005.2208333333333,28.0125,28.479166666666668,27.59583333333333,8.354166666666666,4.1125,23.650000000000002,23.266666666666666,1
2023-09-05,2.8000000000000003,1009.9583333333334,1010.1791666666667,1009.7041666666668,26.575,27.075,26.2625,10.8125,5.204166666666667,22.204166666666666,21.816666666666666,1
2023-09-07,2.8000000000000003,1010.0083333333333,1010.2458333333334,1009.7708333333334,25.633333333333336,26.133333333333336,25.041666666666668,8.387500000000001,3.9499999999999997,22.241666666666664,21.708333333333332,1
2023-02-09,2.6,1005.8791666666666,1006.1374999999999,1005.5958333333333,27.895833333333332,28.316666666666666,27.3,8.35,4.058333333333334,23.854166666666668,23.304166666666664,1
2023-02-25,2.4,1006.7458333333334,1007.0124999999999,1006.4833333333332,26.804166666666664,27.291666666666668,26.46666666666667,4.9875,2.3375,23.804166666666664,23.454166666666666,1
2023-06-14,2.2,1008.0416666666666,1008.2708333333334,1007.8208333333333,25.479166666666668,25.9375,25.09583333333333,5.9875,2.725,23.02916666666667,22.650000000000002,1
2023-05-06,2.2,1006.9291666666667,1007.2041666666668,1006.6916666666666,27.558333333333334,28.004166666666666,27.037499999999998,8.5625,3.9499999999999997,23.616666666666664,23.170833333333334,1
2023-07-08,2.0,1008.2166666666667,1008.4083333333333,1007.9875000000001,25.40833333333333,25.724999999999998,25.02916666666667,4.7375,2.275,23.40416666666667,23.09583333333333,1
2023-08-06,2.0,1011.9791666666666,1012.1875,1011.7333333333332,25.879166666666666,26.4375,25.558333333333334,9.950000000000001,4.95,22.545833333333334,22.2,1
2023-09-18,2.0,1007.7583333333333,1007.9958333333334,1007.5166666666668,25.65416666666667,26.150000000000002,25.337500000000002,9.229166666666666,4.533333333333333,22.620833333333334,22.28333333333333,1
2023-05-28,2.0,1007.1374999999999,1007.3583333333332,1006.9375,26.945833333333336,27.325,26.59166666666667,6.625,3.35,23.666666666666668,23.337500000000002,1
2023-08-12,1.9999999999999998,1009.0083333333333,1009.2666666666668,1008.8166666666666,25.25,25.604166666666668,24.566666666666666,9.0625,4.1499999999999995,21.391666666666666,20.8625,1
